Temp Part,Heat Capacity,Thermal Insulance,Emissivity
100.0,707.1885,0.0013586775,0.87
150.0,707.1884,0.0015060105,0.87
200.0,707.1884,0.0016844819,0.87
250.0,707.18835,0.0018632527,0.87
300.0,717.6382,0.002395367,0.8604
350.0,733.321,0.0025966158,0.84959996
400.0,751.47943,0.0027913027,0.8387999
450.0,781.20526,0.0034056252,0.8279999
500.0,802.09424,0.0036166217,0.81719995
550.0,822.5752,0.003824364,0.7979998
600.0,859.58295,0.00445708,0.7619998
650.0,879.21466,0.004673777,0.72599983
700.0,919.0968,0.005313286,0.6999999
750.0,935.02673,0.005541806,0.6819999
800.0,949.7431,0.0057690116,0.664
850.0,980.5179,0.0064386455,0.6404
900.0,988.65686,0.0066841906,0.6152
950.0,995.45856,0.0069314647,0.59
1000.0,1017.4356,0.007642716,0.57200015
1050.0,1024.0859,0.0079086,0.5540003
1100.0,1031.3745,0.008178977,0.53440064
1150.0,1050.9723,0.0089541795,0.5092008
1200.0,1058.7605,0.0092719495,0.484001
1250.0,1067.2635,0.009578713,0.46680036
1300.0,1085.1082,0.010366679,0.4596004
1350.0,1092.8693,0.010621074,0.45240045
1400.0,1107.9498,0.01136309,0.4452004
1450.0,1114.0364,0.0115722455,0.43800035
1500.0,1119.4629,0.011760775,0.4308003
1550.0,1130.8147,0.012436281,0.4236002
1600.0,1135.2781,0.012590085,0.41640013
1650.0,1139.3734,0.012729746,0.40920007
1700.0,1148.3226,0.013342176,0.402
1750.0,1151.7498,0.013454322,0.39479992
1800.0,1154.9479,0.01355646,0.38759986
1850.0,1161.8733,0.014108746,0.3803998
1900.0,1164.6508,0.01418852,0.3731997
1950.0,1167.3263,0.014261443,0.36599964
2000.0,1173.3467,0.014757042,0.36599964
2050.0,1175.9299,0.014814159,0.36599964
2100.0,1181.5267,0.015263886,0.36599964
2150.0,1183.8805,0.015305239,0.36599964
2200.0,1186.1548,0.015342336,0.36599964
2250.0,1191.2533,0.015737372,0.36599964
2300.0,1193.3578,0.015760932,0.36599964
2350.0,1195.4058,0.015780983,0.36599964
2400.0,1199.3936,0.016135694,0.36599964
2450.0,1200.0566,0.016161915,0.36599964
2500.0,1200.6798,0.016186632,0.36599964
2550.0,1204.997,0.01649303,0.36599964
2600.0,1205.4968,0.01651105,0.36599964
2650.0,1205.9686,0.016528094,0.36599964
2700.0,1210.6427,0.016789675,0.36599964
2750.0,1211.0037,0.016801493,0.36599964
2800.0,1215.2428,0.017022217,0.36599964
2850.0,1215.5106,0.01702982,0.36599964
2900.0,1215.7648,0.017037043,0.36599964
2950.0,1219.4906,0.01721549,0.36599964
3000.0,1219.672,0.017219573,0.36599964
