Temp Part,Heat Capacity,Thermal Insulance,Emissivity
100.0,NaN,inf,0.11
150.0,NaN,inf,0.11
200.0,NaN,inf,0.11
250.0,NaN,inf,0.12
300.0,NaN,inf,0.13
350.0,NaN,inf,0.14
400.0,NaN,inf,0.15
450.0,NaN,inf,0.16
500.0,NaN,inf,0.17
550.0,NaN,inf,0.17999999
600.0,NaN,inf,0.19
650.0,NaN,inf,0.19
700.0,NaN,inf,0.19
750.0,NaN,inf,0.19
800.0,NaN,inf,0.19
850.0,NaN,inf,0.19
900.0,NaN,inf,0.19
950.0,NaN,inf,0.19
1000.0,NaN,inf,0.19
1050.0,NaN,inf,0.19
1100.0,NaN,inf,0.19
1150.0,NaN,inf,0.19
1200.0,NaN,inf,0.19
1250.0,NaN,inf,0.19
1300.0,NaN,inf,0.19
1350.0,NaN,inf,0.19
1400.0,NaN,inf,0.19
1450.0,NaN,inf,0.19
1500.0,NaN,inf,0.19
1550.0,NaN,inf,0.19
1600.0,NaN,inf,0.19
1650.0,NaN,inf,0.19
1700.0,NaN,inf,0.19
1750.0,NaN,inf,0.19
1800.0,NaN,inf,0.19
1850.0,NaN,inf,0.19
1900.0,NaN,inf,0.19
1950.0,NaN,inf,0.19
2000.0,NaN,inf,0.19
2050.0,NaN,inf,0.19
2100.0,NaN,inf,0.19
2150.0,NaN,inf,0.19
2200.0,NaN,inf,0.19
2250.0,NaN,inf,0.19
2300.0,NaN,inf,0.19
2350.0,NaN,inf,0.19
2400.0,NaN,inf,0.19
2450.0,NaN,inf,0.19
2500.0,NaN,inf,0.19
2550.0,NaN,inf,0.19
2600.0,NaN,inf,0.19
2650.0,NaN,inf,0.19
2700.0,NaN,inf,0.19
2750.0,NaN,inf,0.19
2800.0,NaN,inf,0.19
2850.0,NaN,inf,0.19
2900.0,NaN,inf,0.19
2950.0,NaN,inf,0.19
3000.0,NaN,inf,0.19
