Temp Part,Heat Capacity,1 / Thermal Insulance,Emissivity
75.0,226.26096,0.01796196,0.876
125.0,226.26097,0.017961958,0.876
175.0,226.26096,0.017961958,0.876
225.0,226.26096,0.017961958,0.876
275.0,226.63385,0.017961957,0.876
325.0,228.15457,0.017964208,0.876
375.0,230.793,0.017983003,0.876
425.0,233.4443,0.018085497,0.876
475.0,236.21838,0.018277947,0.876
525.0,239.01242,0.018534537,0.876
575.0,241.79471,0.01882515,0.876
625.0,244.50682,0.019128408,0.876
675.0,247.15752,0.019437654,0.876
725.0,249.8573,0.01973397,0.876
775.0,252.5297,0.020030232,0.876
825.0,255.17813,0.020329557,0.876
875.0,257.7032,0.020644894,0.876
925.0,260.27087,0.020976085,0.876
975.0,262.86188,0.021335524,0.876
1025.0,265.43594,0.021712724,0.876
1075.0,267.95596,0.022088623,0.876
1125.0,270.38153,0.022472646,0.876
1175.0,272.90143,0.022856394,0.876
1225.0,275.40668,0.023205511,0.876
1275.0,276.38696,0.023521477,0.876
1325.0,276.6135,0.023777096,0.876
1375.0,276.63397,0.023979971,0.876
1425.0,276.6483,0.024141049,0.876
1475.0,276.6573,0.024263514,0.876
1525.0,276.66235,0.024353445,0.876
1575.0,276.66547,0.024411913,0.8754971
1625.0,276.66696,0.024440514,0.874364
1675.0,276.66727,0.024446081,0.8722724
1725.0,276.6673,0.024446286,0.8706681
1775.0,276.6673,0.024446288,0.8695223
1825.0,276.6673,0.024446286,0.86899936
1875.0,276.66736,0.024446286,0.86867565
1925.0,276.66733,0.02444628,0.8685
1975.0,276.6673,0.024446286,0.8685
2025.0,276.6673,0.024446286,0.8687359
2075.0,276.66727,0.024446283,0.8691153
2125.0,276.66727,0.024446283,0.86963814
2175.0,276.6673,0.02444628,0.8701611
2225.0,276.66733,0.02444628,0.870684
2275.0,276.6673,0.02444628,0.87129813
2325.0,276.6673,0.024446277,0.8726574
2375.0,276.6673,0.024446283,0.874511
2425.0,276.66733,0.02444628,0.8766027
2475.0,276.6673,0.02444628,0.87869436
2525.0,276.66736,0.024446279,0.880786
2575.0,276.66736,0.02444628,0.8827739
2625.0,276.6673,0.024446283,0.884587
2675.0,276.6673,0.024446288,0.8861708
2725.0,276.66736,0.02444629,0.8877395
2775.0,276.6673,0.02444629,0.88919777
2825.0,276.66727,0.02444629,0.88919777
2875.0,276.66724,0.024446288,0.88919777
2925.0,276.6673,0.024446288,0.88919777
2975.0,276.66733,0.024446288,0.88919777
