Temp Part,Heat Capacity,1 / Thermal Insulance,Emissivity
75.0,251.2214,0.11562286,0.88
125.0,251.2214,0.11562286,0.88
175.0,251.22137,0.11562286,0.88
225.0,251.2214,0.11562285,0.88
275.0,252.70164,0.11562284,0.88
325.0,255.5492,0.11576196,0.88
375.0,258.3518,0.11653218,0.88
425.0,261.30606,0.11807515,0.88
475.0,264.25885,0.12012074,0.88
525.0,267.20203,0.12230488,0.88
575.0,269.9983,0.12463359,0.88
625.0,272.91492,0.1268159,0.88
675.0,275.8187,0.12899822,0.88
725.0,278.71234,0.1312125,0.88
775.0,281.4535,0.13354732,0.88
825.0,284.3266,0.13604277,0.88
875.0,287.19467,0.1388473,0.88
925.0,290.05127,0.1416199,0.88
975.0,292.75748,0.14450067,0.88
1025.0,295.5993,0.14745663,0.88
1075.0,298.43433,0.15017523,0.88
1125.0,299.15973,0.15262134,0.88
1175.0,299.1703,0.15445578,0.88
1225.0,299.17767,0.15591018,0.88
1275.0,299.1823,0.15701607,0.88
1325.0,299.18475,0.15780209,0.87926126
1375.0,299.1862,0.15829405,0.87357485
1425.0,299.18686,0.15852419,0.86338556
1475.0,299.18686,0.15852942,0.8556725
1525.0,299.18692,0.15852942,0.8510251
1575.0,299.1869,0.15852939,0.8487116
1625.0,299.1869,0.15852939,0.84749997
1675.0,299.1869,0.15852937,0.84749997
1725.0,299.1869,0.15852942,0.8486382
1775.0,299.1869,0.15852942,0.850778
1825.0,299.18686,0.15852937,0.8534386
1875.0,299.1869,0.15852939,0.85609925
1925.0,299.18692,0.15852937,0.8587599
1975.0,299.1869,0.15852939,0.8653194
2025.0,299.1869,0.15852934,0.87482476
2075.0,299.1869,0.15852939,0.8854673
2125.0,299.1869,0.15852937,0.8961097
2175.0,299.1869,0.15852937,0.9067087
2225.0,299.18692,0.15852934,0.9159341
2275.0,299.1869,0.15852939,0.924153
2325.0,299.1869,0.15852939,0.93213487
2375.0,299.18695,0.15852943,0.9371903
2425.0,299.1869,0.15852943,0.9371903
2475.0,299.1869,0.15852943,0.9371903
2525.0,299.18686,0.15852942,0.9371903
2575.0,299.18686,0.15852942,0.9371903
2625.0,299.18686,0.15852937,0.9371903
2675.0,299.18686,0.15852942,0.9371903
2725.0,299.1869,0.15852942,0.9371903
2775.0,299.1869,0.15852937,0.9371903
2825.0,299.1869,0.15852937,0.9371903
2875.0,299.1869,0.15852937,0.9371903
2925.0,299.1869,0.15852934,0.9371903
2975.0,299.1869,0.15852934,0.9371903
