Temp Part,Heat Capacity,1 / Thermal Insulance,Emissivity
75.0,221.59846,0.033306133,0.88
125.0,221.5985,0.03330613,0.88
175.0,221.59845,0.033306133,0.88
225.0,221.5985,0.03330613,0.88
275.0,223.67668,0.03330611,0.88
325.0,227.60664,0.03344493,0.88
375.0,231.33417,0.033712957,0.88
425.0,235.2918,0.034312297,0.88
475.0,239.22858,0.035089385,0.88
525.0,242.91968,0.035429265,0.88
575.0,246.7959,0.036208935,0.88
625.0,250.62039,0.03698681,0.88
675.0,254.40768,0.037763305,0.88
725.0,258.03503,0.038139064,0.88
775.0,261.7687,0.039002683,0.88
825.0,265.4657,0.039921682,0.88
875.0,269.05746,0.040374953,0.88
925.0,272.7157,0.041368615,0.88
975.0,276.34137,0.042415675,0.88
1025.0,279.95206,0.043479223,0.88
1075.0,283.51544,0.04394941,0.88
1125.0,287.11038,0.04502836,0.873019
1175.0,290.69788,0.046124045,0.86001897
1225.0,294.2592,0.04662968,0.85225475
1275.0,298.7939,0.047755327,0.84900475
1325.0,304.14896,0.048897732,0.8471022
1375.0,309.50565,0.050057687,0.8440403
1425.0,314.8427,0.05058738,0.840299
1475.0,320.20117,0.05177009,0.83939576
1525.0,325.56097,0.052982006,0.8401434
1575.0,330.89987,0.053534873,0.8421477
1625.0,336.256,0.05477488,0.84998095
1675.0,341.60834,0.056027234,0.86298096
1725.0,346.95688,0.0572925,0.8765938
1775.0,353.23947,0.057874292,0.89074606
1825.0,360.35236,0.0591598,0.90343344
1875.0,367.46164,0.060458094,0.91461605
1925.0,374.55383,0.061059557,0.920563
1975.0,381.65814,0.06239829,0.92409503
2025.0,388.75894,0.063761696,0.9292133
2075.0,395.85587,0.065150514,0.93494385
2125.0,402.94492,0.0657897,0.9406744
2175.0,410.037,0.0672097,0.94638157
2225.0,417.12585,0.06865479,0.9513491
2275.0,424.59744,0.07012575,0.95577466
2325.0,432.39514,0.07082486,0.96007264
2375.0,440.19284,0.072336644,0.9627947
2425.0,447.9906,0.07387397,0.9627947
2475.0,455.78827,0.07450343,0.9627947
2525.0,463.586,0.075881995,0.9627947
2575.0,471.38373,0.07718419,0.9627947
2625.0,479.1813,0.07840778,0.9627947
2675.0,486.97903,0.07875659,0.9627947
2725.0,494.77676,0.079827346,0.9627947
2775.0,502.57455,0.08080713,0.9627947
2825.0,502.57452,0.0810155,0.9627947
2875.0,502.57455,0.081859805,0.9627947
2925.0,502.57452,0.08261402,0.9627947
2975.0,502.57443,0.08327653,0.9627947
