Temp Part,Heat Capacity,Thermal Insulance,Emissivity
100.0,1176.6128,0.0017521505,0.8
150.0,1180.9681,0.0019195139,0.8
200.0,1189.309,0.0023083922,0.8
250.0,1196.1927,0.0027526126,0.8
300.0,1202.7296,0.00324626,0.8
350.0,1211.6796,0.0036970645,0.79300004
400.0,1229.7153,0.004190474,0.778
450.0,1253.8193,0.004685301,0.76
500.0,1276.2,0.005157805,0.76
550.0,1293.4812,0.005470738,0.76
600.0,1308.2206,0.005703492,0.76
650.0,1320.8309,0.005814947,0.76
700.0,1331.043,0.0058461097,0.76
750.0,1340.1418,0.0058443965,0.76
800.0,1349.5979,0.005842537,0.76
850.0,1360.1431,0.0058403285,0.76
900.0,1370.4624,0.0058379965,0.76
950.0,1381.3336,0.005835473,0.76
1000.0,1392.8605,0.0058327904,0.76
1050.0,1405.7297,0.0058297417,0.76
1100.0,1418.1437,0.0058265836,0.76
1150.0,1429.3257,0.005823517,0.76
1200.0,1437.9064,0.005821008,0.76
1250.0,1444.1714,0.005819052,0.76
1300.0,1447.0305,0.0058180983,0.76
1350.0,1447.5537,0.005817919,0.76
1400.0,1447.5533,0.0058179195,0.76
1450.0,1447.5536,0.005817917,0.76
1500.0,1447.5536,0.005817917,0.76
1550.0,1447.5542,0.0058179167,0.76
1600.0,1447.5538,0.005817919,0.76
1650.0,1447.5538,0.0058179195,0.76
1700.0,1447.5541,0.005817919,0.76
1750.0,1447.5544,0.005817917,0.76
1800.0,1447.5543,0.005817919,0.76
1850.0,1447.5541,0.005817919,0.76
1900.0,1447.5537,0.0058179204,0.76
1950.0,1447.5536,0.0058179195,0.76
2000.0,1447.5537,0.005817919,0.76
2050.0,1447.5536,0.0058179195,0.76
2100.0,1447.5537,0.005817919,0.76
2150.0,1447.5538,0.0058179195,0.76
2200.0,1447.5538,0.0058179204,0.76
2250.0,1447.5536,0.005817921,0.76
2300.0,1447.554,0.0058179195,0.76
2350.0,1447.5537,0.005817921,0.76
2400.0,1447.5536,0.0058179195,0.76
2450.0,1447.5533,0.0058179186,0.76
2500.0,1447.5538,0.005817917,0.76
2550.0,1447.5537,0.005817917,0.76
2600.0,1447.554,0.0058179167,0.76
2650.0,1447.5537,0.0058179167,0.76
2700.0,1447.5536,0.005817917,0.76
2750.0,1447.5535,0.005817917,0.76
2800.0,1447.5537,0.005817917,0.76
2850.0,1447.5538,0.005817917,0.76
2900.0,1447.5535,0.005817919,0.76
2950.0,1447.5537,0.0058179195,0.76
3000.0,1447.5533,0.0058179204,0.76
