Temp Part,Heat Capacity,Thermal Insulance,Emissivity
100.0,301.3418,0.00026181142,0.873
150.0,313.682,0.0002618114,0.873
200.0,343.6036,0.00026570636,0.873
250.0,392.32074,0.0002761701,0.873
300.0,446.14603,0.00029036895,0.873
350.0,507.7744,0.00030650073,0.875
400.0,560.5303,0.00031930732,0.879
450.0,611.4719,0.0003307347,0.884
500.0,667.8195,0.00034391248,0.889
550.0,712.789,0.00035561362,0.894
600.0,752.646,0.0003725792,0.898
650.0,769.0624,0.0003908828,0.902
700.0,783.12,0.00041486445,0.905
750.0,800.0896,0.0004386386,0.908
800.0,834.07745,0.000466777,0.91
850.0,868.9127,0.0004926028,0.912
900.0,901.5453,0.0005188076,0.914
950.0,934.3428,0.00054852554,0.916
1000.0,959.9727,0.00057422585,0.918
1050.0,984.9495,0.00060106243,0.92
1100.0,1003.9833,0.00062274013,0.921
1150.0,1023.2903,0.000647221,0.923
1200.0,1038.0452,0.00066720287,0.924
1250.0,1051.1661,0.00068600924,0.926
1300.0,1064.933,0.0007070593,0.927
1350.0,1075.3167,0.00072404294,0.928
1400.0,1086.4119,0.00074366963,0.93
1450.0,1094.7708,0.0007593144,0.931
1500.0,1103.6714,0.000777783,0.932
1550.0,1110.2626,0.0007924214,0.933
1600.0,1117.3989,0.0008099983,0.934
1650.0,1122.7683,0.0008236152,0.935
1700.0,1127.7709,0.00083676283,0.935
1750.0,1133.1757,0.0008530145,0.936
1800.0,1137.1631,0.0008654436,0.937
1850.0,1141.1981,0.00088096363,0.938
1900.0,1144.2136,0.00089261035,0.938
1950.0,1147.4044,0.00090738706,0.939
2000.0,1149.8119,0.00091835175,0.939
2050.0,1151.9851,0.00092900265,0.939
2100.0,1154.2703,0.00094274775,0.939
2150.0,1156.1641,0.00095266505,0.939
2200.0,1158.271,0.00096552743,0.939
2250.0,1160.0043,0.00097470946,0.939
2300.0,1162.1187,0.0009866522,0.939
2350.0,1164.085,0.0009949565,0.939
2400.0,1166.8829,0.0010056573,0.939
2450.0,1169.2817,0.0010130606,0.939
2500.0,1171.8544,0.0010200802,0.939
2550.0,1175.6929,0.0010291535,0.939
2600.0,1178.7366,0.001035357,0.939
2650.0,1183.3928,0.0010433292,0.939
2700.0,1186.8959,0.001048714,0.939
2750.0,1191.8184,0.0010556695,0.939
2800.0,1195.1864,0.0010603566,0.939
2850.0,1199.9966,0.0010663508,0.939
2900.0,1203.2048,0.0010703383,0.939
2950.0,1206.1348,0.0010735943,0.939
3000.0,1209.9426,0.0010778824,0.939
