Temp Part,Heat Capacity,Thermal Insulance,Emissivity
100.0,310.9235,0.0005741071,0.873
150.0,322.63052,0.000574107,0.873
200.0,351.01672,0.0005823314,0.873
250.0,397.23395,0.000604382,0.873
300.0,448.97485,0.00063420384,0.873
350.0,508.20306,0.00066794327,0.875
400.0,559.00995,0.00069462165,0.879
450.0,608.0636,0.00071834755,0.884
500.0,662.24963,0.00074684346,0.889
550.0,705.6225,0.00077376654,0.894
600.0,744.07526,0.0008115599,0.898
650.0,760.2766,0.0008521112,0.902
700.0,774.22003,0.00090450456,0.905
750.0,790.8987,0.00095646194,0.908
800.0,823.70734,0.0010175284,0.91
850.0,857.3199,0.0010737597,0.912
900.0,888.8426,0.0011307772,0.914
950.0,920.522,0.0011951198,0.916
1000.0,945.2997,0.0012510712,0.918
1050.0,969.46814,0.0013084944,0.92
1100.0,988.0231,0.0013539887,0.921
1150.0,1006.8721,0.0014078377,0.923
1200.0,1021.47864,0.0014522948,0.924
1250.0,1034.4684,0.001494263,0.926
1300.0,1048.033,0.0015406245,0.927
1350.0,1058.4229,0.0015782282,0.928
1400.0,1069.5137,0.0016213438,0.93
1450.0,1078.0087,0.0016561252,0.931
1500.0,1086.8945,0.0016968298,0.932
1550.0,1093.467,0.0017298905,0.933
1600.0,1100.5405,0.0017691014,0.934
1650.0,1105.954,0.001799982,0.935
1700.0,1111.1488,0.0018298435,0.935
1750.0,1116.7253,0.001866344,0.936
1800.0,1120.8114,0.0018949972,0.937
1850.0,1124.6523,0.0019301071,0.938
1900.0,1127.5267,0.0019570002,0.938
1950.0,1130.5668,0.0019904603,0.939
2000.0,1132.8602,0.0020158654,0.939
2050.0,1134.9312,0.0020405638,0.939
2100.0,1137.1077,0.0020717804,0.939
2150.0,1138.913,0.002094834,0.939
2200.0,1140.9208,0.0021241063,0.939
2250.0,1142.5739,0.0021455153,0.939
2300.0,1144.5885,0.0021727649,0.939
2350.0,1146.4628,0.0021922265,0.939
2400.0,1149.1257,0.002216765,0.939
2450.0,1151.404,0.0022344121,0.939
2500.0,1153.8448,0.0022512577,0.939
2550.0,1157.4862,0.0022724487,0.939
2600.0,1160.3737,0.002287444,0.939
2650.0,1164.7913,0.002306186,0.939
2700.0,1168.1144,0.002319329,0.939
2750.0,1172.7843,0.002335803,0.939
2800.0,1175.9795,0.0023473552,0.939
2850.0,1180.543,0.0023616808,0.939
2900.0,1183.5867,0.0023716416,0.939
2950.0,1186.3662,0.0023786647,0.939
3000.0,1189.9785,0.0023879125,0.939
