Temp Part,Heat Capacity,Thermal Insulance,Emissivity
100.0,297.59903,0.00039054357,0.873
150.0,333.5462,0.00040018145,0.873
200.0,376.42883,0.0004117831,0.873
250.0,419.00452,0.00042336542,0.873
300.0,459.1447,0.00043510462,0.873
350.0,497.6665,0.0004467688,0.875
400.0,534.97424,0.00045825387,0.879
450.0,648.4059,0.00049884425,0.884
500.0,682.5234,0.0005126328,0.889
550.0,714.22394,0.00052729604,0.894
600.0,742.5285,0.0005414018,0.898
650.0,834.5863,0.00058819714,0.902
700.0,857.4063,0.00060296507,0.905
750.0,878.39154,0.00061785185,0.908
800.0,897.92664,0.0006327862,0.91
850.0,966.14594,0.00068278844,0.912
900.0,982.02106,0.0007005895,0.914
950.0,996.8639,0.0007190498,0.916
1000.0,1010.4327,0.0007375853,0.918
1050.0,1059.7582,0.0007926775,0.92
1100.0,1070.3164,0.0008113593,0.921
1150.0,1079.914,0.00083209533,0.923
1200.0,1088.6963,0.0008531184,0.924
1250.0,1124.7184,0.00091421785,0.926
1300.0,1131.6418,0.00093710044,0.927
1350.0,1138.0103,0.0009601223,0.928
1400.0,1143.8983,0.000983519,0.93
1450.0,1169.3546,0.0010502986,0.931
1500.0,1173.689,0.0010756773,0.932
1550.0,1177.6519,0.0011016775,0.933
1600.0,1181.3375,0.0011281737,0.934
1650.0,1198.8126,0.0012018885,0.935
1700.0,1201.6385,0.0012308442,0.935
1750.0,1204.2917,0.0012605077,0.936
1800.0,1206.718,0.001290866,0.937
1850.0,1218.9635,0.001373138,0.938
1900.0,1220.6523,0.0014064416,0.938
1950.0,1222.2391,0.0014404294,0.939
2000.0,1223.6653,0.0014725642,0.939
2050.0,1224.9554,0.0015029763,0.939
2100.0,1232.8677,0.0015884732,0.939
2150.0,1233.749,0.00161676,0.939
2200.0,1234.5559,0.0016436144,0.939
2250.0,1235.298,0.0016691501,0.939
2300.0,1240.6825,0.001752539,0.939
2350.0,1241.2035,0.0017762741,0.939
2400.0,1241.6868,0.0017989078,0.939
2450.0,1242.1335,0.0018207363,0.939
2500.0,1246.1165,0.0019021527,0.939
2550.0,1246.43,0.0019225092,0.939
2600.0,1246.7236,0.0019419884,0.939
2650.0,1246.9989,0.0019606494,0.939
2700.0,1249.8893,0.0020396071,0.939
2750.0,1250.0844,0.0020569102,0.939
2800.0,1250.2684,0.0020735194,0.939
2850.0,1250.4424,0.0020894778,0.939
2900.0,1252.583,0.002165525,0.939
2950.0,1252.7063,0.0021783274,0.939
3000.0,1252.8236,0.0021906137,0.939
