Temp Part,Heat Capacity,Thermal Insulance,Emissivity
100.0,338.7083,0.0012615675,0.873
150.0,348.94446,0.001267521,0.873
200.0,375.19775,0.0012830204,0.873
250.0,409.07974,0.0013034188,0.873
300.0,455.149,0.0013335618,0.873
350.0,499.68384,0.00136826,0.875
400.0,551.68884,0.0014132694,0.879
450.0,596.9393,0.0014582672,0.884
500.0,646.7675,0.0015288728,0.889
550.0,688.613,0.0016025094,0.894
600.0,733.0366,0.0016870955,0.898
650.0,768.7525,0.001767124,0.902
700.0,806.4844,0.0018589164,0.905
750.0,836.4478,0.0019451662,0.908
800.0,868.18835,0.0020444107,0.91
850.0,893.457,0.0021368929,0.912
900.0,920.04205,0.0022436297,0.914
950.0,941.3024,0.002342307,0.916
1000.0,963.17206,0.0024566376,0.918
1050.0,980.62726,0.0025465135,0.92
1100.0,999.30414,0.0026682701,0.921
1150.0,1014.65643,0.0027852987,0.923
1200.0,1030.5599,0.002920227,0.924
1250.0,1043.1512,0.003045135,0.926
1300.0,1056.7825,0.003186347,0.927
1350.0,1067.8153,0.0033179785,0.928
1400.0,1079.4779,0.0034691975,0.93
1450.0,1088.6241,0.003609792,0.931
1500.0,1097.967,0.0037739247,0.932
1550.0,1104.8462,0.003927144,0.933
1600.0,1112.1272,0.0041028666,0.934
1650.0,1118.8682,0.004285389,0.935
1700.0,1124.8318,0.0044590514,0.935
1750.0,1131.205,0.0046603163,0.936
1800.0,1135.7959,0.0048498553,0.937
1850.0,1139.4403,0.005066862,0.938
1900.0,1142.1514,0.0052746376,0.938
1950.0,1145.1206,0.005513483,0.939
2000.0,1147.272,0.0057327556,0.939
2050.0,1149.5956,0.005967465,0.939
2100.0,1151.2554,0.006174828,0.939
2150.0,1153.0842,0.006399228,0.939
2200.0,1154.3848,0.0065959645,0.939
2250.0,1155.8578,0.006811012,0.939
2300.0,1156.9161,0.006998226,0.939
2350.0,1158.1317,0.0072056693,0.939
2400.0,1158.9636,0.0073892297,0.939
2450.0,1159.9445,0.007592932,0.939
2500.0,1160.6273,0.0077685406,0.939
2550.0,1161.4418,0.00796497,0.939
2600.0,1162.0039,0.008133189,0.939
2650.0,1162.6848,0.008322755,0.939
2700.0,1163.1544,0.0084841,0.939
2750.0,1163.7284,0.008667185,0.939
2800.0,1164.1206,0.0088220695,0.939
2850.0,1164.6066,0.008964134,0.939
2900.0,1164.9376,0.00907767,0.939
2950.0,1165.3517,0.0092124995,0.939
3000.0,1165.6315,0.009319424,0.939
