Temp Part,Heat Capacity,Thermal Insulance,Emissivity
100.0,307.34207,0.012445229,0.895
150.0,340.86996,0.012446006,0.895
200.0,378.41147,0.012446752,0.895
250.0,407.14572,0.012447626,0.895
300.0,434.57608,0.012448397,0.895
350.0,451.92484,0.012651354,0.895
400.0,466.46835,0.013461696,0.895
450.0,479.63132,0.015052005,0.895
500.0,490.27112,0.017946713,0.895
550.0,497.80634,0.023414912,0.895
600.0,505.7696,0.029461546,0.89543563
650.0,515.1903,0.03545321,0.8973642
700.0,524.6123,0.040459093,0.89929277
750.0,534.03796,0.04631813,0.90122133
800.0,543.4678,0.053619415,0.9031499
850.0,555.83746,0.061915588,0.9050785
900.0,569.0294,0.07244483,0.90700704
950.0,589.5715,0.08274074,0.9089356
1000.0,615.9065,0.094355114,0.91086423
1050.0,646.03406,0.10504392,0.9127928
1100.0,683.6296,0.11720444,0.91472137
1150.0,716.9099,0.1293449,0.91664994
1200.0,716.92975,0.13958928,0.9185785
1250.0,716.94794,0.15084259,0.9205071
1300.0,716.964,0.16008946,0.92243564
1350.0,716.97925,0.17050508,0.9243642
1400.0,716.9925,0.17890249,0.92629284
1450.0,717.0046,0.1885612,0.92629284
1500.0,717.0149,0.19620289,0.92629284
1550.0,717.02466,0.20514488,0.92629284
1600.0,717.0336,0.21374561,0.92629284
1650.0,717.04126,0.22041081,0.92629284
1700.0,717.0489,0.22843894,0.92629284
1750.0,717.0553,0.23456378,0.92629284
1800.0,717.06195,0.24203107,0.92629284
1850.0,717.0677,0.24760875,0.92629284
1900.0,717.07385,0.25440237,0.92629284
1950.0,717.0803,0.26071832,0.92629284
2000.0,717.0857,0.26532313,0.92629284
2050.0,717.09204,0.27098334,0.92629284
2100.0,717.0971,0.27510008,0.92629284
2150.0,717.1034,0.28011423,0.92629284
2200.0,717.1082,0.28378624,0.92629284
2250.0,717.11395,0.28847396,0.92629284
2300.0,717.1192,0.2930517,0.92629284
2350.0,717.12305,0.29640839,0.92629284
2400.0,717.1276,0.30079705,0.92629284
2450.0,717.131,0.30399078,0.92629284
2500.0,717.1349,0.30822694,0.92629284
2550.0,717.13776,0.31127417,0.92629284
2600.0,717.1411,0.31536928,0.92629284
2650.0,717.1436,0.3182823,0.92629284
2700.0,717.1465,0.32224628,0.92629284
2750.0,717.1492,0.3261367,0.92629284
2800.0,717.1511,0.32880768,0.92629284
2850.0,717.1536,0.33240902,0.92629284
2900.0,717.15546,0.3348416,0.92629284
2950.0,717.15784,0.33812046,0.92629284
3000.0,717.15955,0.34029314,0.92629284
