Temp Part,Heat Capacity,Thermal Insulance,Emissivity
100.0,305.64005,9.656809,0.895
150.0,326.9146,9.962345,0.895
200.0,357.1954,10.389694,0.895
250.0,385.7795,10.885154,0.895
300.0,411.70035,11.488823,0.895
350.0,432.32437,12.039514,0.895
400.0,448.36874,12.558471,0.895
450.0,462.05978,13.089077,0.895
500.0,473.26443,13.592207,0.895
550.0,482.83038,14.121708,0.895
600.0,491.4969,14.718872,0.89543563
650.0,498.88153,15.304377,0.8973642
700.0,506.18005,15.902009,0.89929277
750.0,514.18384,16.542185,0.90122133
800.0,522.00616,17.142756,0.9031499
850.0,530.32263,17.748102,0.9050785
900.0,539.8113,18.403866,0.90700704
950.0,550.17255,19.02685,0.9089356
1000.0,562.8496,19.65037,0.91086423
1050.0,579.0824,20.312086,0.9127928
1100.0,597.999,20.924696,0.91472137
1150.0,619.781,21.51876,0.91664994
1200.0,642.1753,22.085712,0.9185785
1250.0,660.606,22.517078,0.9205071
1300.0,677.62665,22.8953,0.92243564
1350.0,690.5274,23.163744,0.9243642
1400.0,700.79364,23.364634,0.92629284
1450.0,709.23315,23.51873,0.92629284
1500.0,713.802,23.599913,0.92629284
1550.0,715.7995,23.635088,0.92629284
1600.0,715.93994,23.637562,0.92629284
1650.0,715.94,23.637562,0.92629284
1700.0,715.9399,23.637562,0.92629284
1750.0,715.9399,23.637562,0.92629284
1800.0,715.9398,23.637566,0.92629284
1850.0,715.9399,23.637566,0.92629284
1900.0,715.9398,23.637564,0.92629284
1950.0,715.9398,23.637568,0.92629284
2000.0,715.93976,23.637566,0.92629284
2050.0,715.9401,23.63756,0.92629284
2100.0,715.94,23.637562,0.92629284
2150.0,715.9399,23.637558,0.92629284
2200.0,715.9402,23.637552,0.92629284
2250.0,715.94,23.637556,0.92629284
2300.0,715.94,23.637556,0.92629284
2350.0,715.94025,23.637552,0.92629284
2400.0,715.94006,23.637556,0.92629284
2450.0,715.9401,23.637556,0.92629284
2500.0,715.94,23.637556,0.92629284
2550.0,715.93994,23.637556,0.92629284
2600.0,715.9399,23.637562,0.92629284
2650.0,715.93994,23.637558,0.92629284
2700.0,715.94025,23.637554,0.92629284
2750.0,715.9399,23.637548,0.92629284
2800.0,715.93964,23.637558,0.92629284
2850.0,715.9398,23.637554,0.92629284
2900.0,715.9398,23.637554,0.92629284
2950.0,715.93976,23.637554,0.92629284
3000.0,715.93976,23.637558,0.92629284
