Temp Part,Heat Capacity,Thermal Insulance,Emissivity
100.0,299.41046,0.012451197,0.55
150.0,329.18835,0.01245194,0.55
200.0,363.98145,0.012452795,0.55
250.0,394.08386,0.012453523,0.56110877
300.0,422.55267,0.01245414,0.57296443
350.0,441.04306,0.01268314,0.5848201
400.0,457.45126,0.013542183,0.59667575
450.0,472.06396,0.015227926,0.6085314
500.0,482.0785,0.018443285,0.6203871
550.0,488.13086,0.024308292,0.6322428
600.0,494.43045,0.031166958,0.64409846
650.0,500.9435,0.03757454,0.6559541
700.0,509.59964,0.043477636,0.6678098
750.0,520.1045,0.049715262,0.67966545
800.0,532.83386,0.05670885,0.6915211
850.0,547.48175,0.06630495,0.70337677
900.0,564.34985,0.07747312,0.71523243
950.0,583.12805,0.08947296,0.72708815
1000.0,609.7665,0.101810224,0.7389438
1050.0,643.1823,0.11445174,0.7507995
1100.0,691.1499,0.1273458,0.76265514
1150.0,751.66266,0.13861369,0.7745108
1200.0,812.17267,0.15084445,0.78636646
1250.0,812.1948,0.16254432,0.78636646
1300.0,812.21515,0.17374131,0.78636646
1350.0,812.2341,0.18445006,0.78636646
1400.0,812.2513,0.19467525,0.78636646
1450.0,812.2664,0.2044716,0.78636646
1500.0,812.2801,0.21387944,0.78636646
1550.0,812.29156,0.22122502,0.78636646
1600.0,812.30286,0.22988987,0.78636646
1650.0,812.3133,0.23813945,0.78636646
1700.0,812.32336,0.24592175,0.78636646
1750.0,812.3333,0.25313357,0.78636646
1800.0,812.3432,0.25987402,0.78636646
1850.0,812.3527,0.26622063,0.78636646
1900.0,812.3605,0.27090785,0.78636646
1950.0,812.3697,0.27648553,0.78636646
2000.0,812.3783,0.28187245,0.78636646
2050.0,812.38617,0.28711155,0.78636646
2100.0,812.3935,0.29220918,0.78636646
2150.0,812.40015,0.29718828,0.78636646
2200.0,812.4062,0.3020623,0.78636646
2250.0,812.41174,0.3068357,0.78636646
2300.0,812.41583,0.3103057,0.78636646
2350.0,812.42053,0.31488723,0.78636646
2400.0,812.42487,0.31938034,0.78636646
2450.0,812.4288,0.3237886,0.78636646
2500.0,812.4325,0.32803744,0.78636646
2550.0,812.43604,0.33208352,0.78636646
2600.0,812.43945,0.33591843,0.78636646
2650.0,812.44214,0.33850396,0.78636646
2700.0,812.4453,0.3419229,0.78636646
2750.0,812.44855,0.34507114,0.78636646
2800.0,812.4517,0.3479158,0.78636646
2850.0,812.4549,0.35050264,0.78636646
2900.0,812.45795,0.3528528,0.78636646
2950.0,812.461,0.35494614,0.78636646
3000.0,812.464,0.3567936,0.78636646
