Temp Part,Heat Capacity,Thermal Insulance,Emissivity
100.0,298.98953,0.024897356,0.55
150.0,328.78854,0.02489921,0.55
200.0,363.6063,0.024901347,0.55
250.0,393.7295,0.024903167,0.56110877
300.0,422.217,0.024904706,0.57296443
350.0,440.71817,0.02536285,0.5848201
400.0,457.1353,0.027080726,0.59667575
450.0,471.75543,0.030451547,0.6085314
500.0,481.7734,0.03688067,0.6203871
550.0,487.82526,0.048607003,0.6322428
600.0,494.12332,0.06231906,0.64409846
650.0,500.6338,0.07512859,0.6559541
700.0,509.28827,0.08692926,0.6678098
750.0,519.7922,0.09939828,0.67966545
800.0,532.5214,0.1133777,0.6915211
850.0,547.16974,0.13255751,0.70337677
900.0,564.0399,0.15487772,0.71523243
950.0,582.8224,0.17885843,0.72708815
1000.0,609.47186,0.20351164,0.7389438
1050.0,642.9046,0.22877103,0.7507995
1100.0,690.89984,0.25453338,0.76265514
1150.0,751.4499,0.27704635,0.7745108
1200.0,811.99774,0.30148163,0.78636646
1250.0,812.01556,0.324848,0.78636646
1300.0,812.03174,0.34720767,0.78636646
1350.0,812.04694,0.36859024,0.78636646
1400.0,812.06067,0.38900533,0.78636646
1450.0,812.0728,0.40856242,0.78636646
1500.0,812.08374,0.42734227,0.78636646
1550.0,812.09296,0.44200435,0.78636646
1600.0,812.102,0.45929846,0.78636646
1650.0,812.11035,0.4757625,0.78636646
1700.0,812.1184,0.49129277,0.78636646
1750.0,812.12646,0.50568366,0.78636646
1800.0,812.1343,0.5191331,0.78636646
1850.0,812.1419,0.531796,0.78636646
1900.0,812.1482,0.5411475,0.78636646
1950.0,812.1556,0.5522751,0.78636646
2000.0,812.16235,0.56302154,0.78636646
2050.0,812.16876,0.5734726,0.78636646
2100.0,812.17456,0.583641,0.78636646
2150.0,812.1799,0.59357256,0.78636646
2200.0,812.18475,0.603294,0.78636646
2250.0,812.1892,0.61281437,0.78636646
2300.0,812.19257,0.6197349,0.78636646
2350.0,812.1963,0.6288718,0.78636646
2400.0,812.19965,0.6378321,0.78636646
2450.0,812.2029,0.6466229,0.78636646
2500.0,812.2058,0.65509534,0.78636646
2550.0,812.20856,0.66316324,0.78636646
2600.0,812.2113,0.67080975,0.78636646
2650.0,812.2135,0.67596495,0.78636646
2700.0,812.21606,0.6827817,0.78636646
2750.0,812.21857,0.6890585,0.78636646
2800.0,812.2212,0.69472986,0.78636646
2850.0,812.22363,0.69988716,0.78636646
2900.0,812.22614,0.7045724,0.78636646
2950.0,812.22864,0.7087456,0.78636646
3000.0,812.23096,0.71242857,0.78636646
