Temp Part,Heat Capacity,Thermal Insulance,Emissivity
100.0,540.4049,0.0005952794,0.6
150.0,545.2499,0.000595345,0.60899913
200.0,605.77637,0.0005959744,0.68999916
250.0,669.20795,0.0005963989,0.77099925
300.0,720.4646,0.0005966272,0.7879999
350.0,771.0696,0.0005967988,0.79699993
400.0,813.5188,0.0005970599,0.80599993
450.0,849.7643,0.0006006402,0.81499994
500.0,892.86096,0.000609194,0.824
550.0,940.1417,0.0006221776,0.8324
600.0,971.5948,0.00063882506,0.8396
650.0,999.3247,0.0006572941,0.8468
700.0,1026.3877,0.0006796469,0.85400003
750.0,1054.188,0.0007057211,0.86120003
800.0,1082.4531,0.00073353795,0.86840004
850.0,1105.4945,0.00076706114,0.8742
900.0,1124.0297,0.00080387987,0.8796
950.0,1140.7417,0.00083757815,0.88499993
1000.0,1157.0624,0.00087289937,0.89039993
1050.0,1173.6405,0.0009067447,0.8957999
1100.0,1189.3285,0.0009348582,0.8996
1150.0,1205.983,0.000965878,0.8978
1200.0,1223.1395,0.0009957461,0.896
1250.0,1239.4159,0.001019738,0.8942001
1300.0,1256.1625,0.001047419,0.8924001
1350.0,1273.0278,0.0010741712,0.8906001
1400.0,1288.7274,0.0010949938,0.8828005
1450.0,1304.5645,0.0011199511,0.8720002
1500.0,1319.8258,0.0011441266,0.8611999
1550.0,1334.4629,0.0011622511,0.8503996
1600.0,1349.7664,0.0011842913,0.83959925
1650.0,1364.3375,0.0012051706,0.8273312
1700.0,1377.6288,0.0012203797,0.8033317
1750.0,1389.0546,0.0012392673,0.77933216
1800.0,1399.3904,0.0012571894,0.7553327
1850.0,1409.7506,0.0012700339,0.72899944
1900.0,1420.4501,0.0012862579,0.70199955
1950.0,1430.8193,0.0013016576,0.6749996
2000.0,1441.4686,0.0013125252,0.6479997
2050.0,1452.0607,0.0013264891,0.62099975
2100.0,1462.3994,0.0013397069,0.59399986
2150.0,1472.9933,0.0013488949,0.5669999
2200.0,1483.2721,0.0013608916,0.54
2250.0,1491.3685,0.0013722274,0.54
2300.0,1495.3866,0.0013799808,0.54
2350.0,1497.3132,0.0013902512,0.54
2400.0,1497.614,0.001399948,0.54
2450.0,1497.7712,0.0014064639,0.54
2500.0,1497.9764,0.0014151778,0.54
2550.0,1498.1555,0.0014233544,0.54
2600.0,1498.2645,0.0014287462,0.54
2650.0,1498.4025,0.0014359836,0.54
2700.0,1498.533,0.0014426052,0.54
2750.0,1498.619,0.0014468082,0.54
2800.0,1498.7407,0.001452336,0.54
2850.0,1498.8478,0.0014572472,0.54
2900.0,1498.8999,0.0014602874,0.54
2950.0,1498.9479,0.0014642464,0.54
3000.0,1498.9598,0.0014676357,0.54
