Temp Part,Heat Capacity,Thermal Insulance,Emissivity
100.0,451.946,23.0,0.88
150.0,451.94598,22.999996,0.88
200.0,451.94592,23.000002,0.88
250.0,451.94604,22.999998,0.88
300.0,451.94598,23.0,0.88
350.0,451.94598,23.0,0.88
400.0,451.9461,22.999998,0.88
450.0,451.9459,23.000006,0.88
500.0,451.946,22.999996,0.88
550.0,451.94604,22.999996,0.88
600.0,451.94592,23.0,0.88
650.0,451.94595,23.000002,0.88
700.0,451.94598,22.999996,0.88
750.0,451.94586,23.000002,0.88
800.0,451.94586,23.000002,0.88
850.0,451.94595,23.000004,0.88
900.0,451.94598,23.0,0.88
950.0,451.94598,22.999998,0.88
1000.0,451.9459,23.000002,0.88
1050.0,451.94598,23.0,0.88
1100.0,451.94595,22.999994,0.88
1150.0,451.94604,22.999994,0.86931497
1200.0,451.94604,23.000002,0.8493174
1250.0,451.94604,23.000004,0.8373299
1300.0,451.946,23.000002,0.8323305
1350.0,451.9459,23.000004,0.83
1400.0,451.94586,23.000002,0.83
1450.0,451.94595,23.000002,0.83266765
1500.0,451.946,22.999996,0.83766705
1550.0,451.94604,22.999996,0.84266645
1600.0,451.94598,22.999996,0.8476659
1650.0,451.94595,23.0,0.8606611
1700.0,451.94595,22.999998,0.8806587
1750.0,451.94595,22.999994,0.9006563
1800.0,451.94598,22.999994,0.9206539
1850.0,451.94604,22.999996,0.93798864
1900.0,451.94592,23.000002,0.95298684
1950.0,451.94614,22.999998,0.96798503
2000.0,451.94604,23.0,0.96798503
2050.0,451.94583,23.000002,0.96798503
2100.0,451.94592,22.999994,0.96798503
2150.0,451.94583,22.999998,0.96798503
2200.0,451.94586,23.000004,0.96798503
2250.0,451.94604,22.999998,0.96798503
2300.0,451.946,23.0,0.96798503
2350.0,451.94595,22.999998,0.96798503
2400.0,451.94604,23.000002,0.96798503
2450.0,451.946,23.000002,0.96798503
2500.0,451.9461,22.999989,0.96798503
2550.0,451.94614,23.0,0.96798503
2600.0,451.9461,22.99999,0.96798503
2650.0,451.94608,22.999998,0.96798503
2700.0,451.9461,22.999998,0.96798503
2750.0,451.94604,23.0,0.96798503
2800.0,451.94598,22.999998,0.96798503
2850.0,451.9459,23.0,0.96798503
2900.0,451.9459,22.999998,0.96798503
2950.0,451.9458,22.999998,0.96798503
3000.0,451.94595,22.999998,0.96798503
