Temp Part,Heat Capacity,1 / Thermal Insulance,Emissivity
75.0,307.14474,0.0005599081,0.8297518
125.0,319.32935,0.0005626255,0.8297518
175.0,349.5893,0.00056947925,0.8297518
225.0,388.43506,0.0005784754,0.8297518
275.0,437.86404,0.00059152435,0.8297518
325.0,491.70892,0.0006100121,0.83055174
375.0,547.184,0.00063219114,0.8324062
425.0,595.152,0.0006557873,0.8349082
475.0,647.4593,0.00068629504,0.8375907
525.0,697.31116,0.00072065816,0.8403598
575.0,743.4278,0.000757586,0.84272903
625.0,780.5189,0.000793024,0.84509814
675.0,819.1688,0.00083303655,0.84693664
725.0,854.2671,0.0008754685,0.84875196
775.0,886.20496,0.000919915,0.85009676
825.0,915.15216,0.0009656107,0.8513583
875.0,938.16113,0.001009299,0.8526094
925.0,962.10284,0.0010580301,0.8535867
975.0,983.7715,0.0011075506,0.8538033
1025.0,1003.6337,0.0011595832,0.8540199
1075.0,1019.38873,0.0012091036,0.8538325
1125.0,1035.8564,0.0012650106,0.85303074
1175.0,1050.641,0.0013234521,0.851829
1225.0,1064.1506,0.0013845587,0.85102713
1275.0,1074.9352,0.001441479,0.8493587
1325.0,1086.1855,0.0015063966,0.8477288
1375.0,1096.3184,0.0015742086,0.8464676
1425.0,1105.347,0.0016434685,0.8464259
1475.0,1113.4125,0.0017148036,0.84711623
1525.0,1119.6337,0.0017826188,0.8476701
1575.0,1126.1777,0.0018576212,0.8482239
1625.0,1132.1069,0.0019339572,0.84888875
1675.0,1137.5884,0.0020134174,0.84911543
1725.0,1141.8857,0.0020884436,0.8496693
1775.0,1146.2614,0.002171832,0.8502231
1825.0,1149.9137,0.002258488,0.850777
1875.0,1153.1935,0.0023483045,0.8509308
1925.0,1155.7144,0.002432335,0.85148466
1975.0,1158.3896,0.0025236635,0.85155404
2025.0,1160.7809,0.002612051,0.8516084
2075.0,1162.9082,0.0026960627,0.85176224
2125.0,1164.4814,0.0027698583,0.8519161
2175.0,1166.09,0.0028491952,0.8520699
2225.0,1167.5249,0.0029254057,0.85210574
2275.0,1168.8132,0.0029995388,0.85219365
2325.0,1169.9697,0.00307157,0.8522897
2375.0,1170.8207,0.0031334755,0.8522897
2425.0,1171.7787,0.0032008837,0.8522897
2475.0,1172.6431,0.0032658372,0.8522897
2525.0,1173.4304,0.0033286305,0.8522897
2575.0,1174.0112,0.0033794334,0.8522897
2625.0,1174.6794,0.0034360741,0.8522897
2675.0,1175.2894,0.0034908077,0.8522897
2725.0,1175.8448,0.0035437278,0.8522897
2775.0,1176.2506,0.0035873088,0.8522897
2825.0,1176.7198,0.0036361227,0.8522897
2875.0,1177.1473,0.0036831924,0.8522897
2925.0,1177.5409,0.003728765,0.8522897
2975.0,1177.9071,0.0037729007,0.8522897
