Temp Part,Heat Capacity,1 / Thermal Insulance,Emissivity
75.0,326.7246,0.0010303294,0.8297518
125.0,335.619,0.0010341785,0.8297518
175.0,358.24945,0.0010439864,0.8297518
225.0,388.2741,0.0010571531,0.8297518
275.0,428.09247,0.0010760137,0.8297518
325.0,469.10202,0.0011048563,0.83055174
375.0,514.734,0.0011412307,0.8324062
425.0,555.2824,0.0011797864,0.8349082
475.0,599.0925,0.0012335129,0.8375907
525.0,637.9969,0.0012956084,0.8403598
575.0,677.26294,0.001363936,0.84272903
625.0,709.69824,0.0014308004,0.84509814
675.0,743.1101,0.0015036219,0.84693664
725.0,771.2744,0.001579278,0.84875196
775.0,799.3581,0.0016602378,0.85009676
825.0,823.0505,0.001740133,0.8513583
875.0,845.8943,0.0018232212,0.8526094
925.0,865.8206,0.0019100424,0.8535867
975.0,885.3612,0.0019968192,0.8538033
1025.0,901.9633,0.0020818117,0.8540199
1075.0,918.1709,0.0021730636,0.8538325
1125.0,932.64307,0.0022681383,0.85303074
1175.0,946.7997,0.0023703396,0.851829
1225.0,958.6951,0.0024743006,0.85102713
1275.0,970.4722,0.0025762243,0.8493587
1325.0,980.8397,0.00268358,0.8477288
1375.0,991.15735,0.0027987424,0.8464676
1425.0,999.76154,0.002911587,0.8464259
1475.0,1008.1644,0.0030309118,0.84711623
1525.0,1014.7815,0.0031468843,0.8476701
1575.0,1021.5122,0.0032693006,0.8482239
1625.0,1027.7148,0.0033910654,0.84888875
1675.0,1033.3248,0.0035141662,0.84911543
1725.0,1038.7985,0.0036377104,0.8496693
1775.0,1043.2147,0.0037629912,0.8502231
1825.0,1046.8474,0.0038955344,0.850777
1875.0,1049.8268,0.0040268297,0.8509308
1925.0,1052.7249,0.004154401,0.85148466
1975.0,1055.2152,0.0042832782,0.85155404
2025.0,1057.7245,0.0044113374,0.8516084
2075.0,1059.7576,0.0045271767,0.85176224
2125.0,1061.66,0.004637659,0.8519161
2175.0,1063.0975,0.004746818,0.8520699
2225.0,1064.5498,0.004853977,0.85210574
2275.0,1065.7289,0.004954784,0.85219365
2325.0,1066.9391,0.005056304,0.8522897
2375.0,1067.8586,0.005146153,0.8522897
2425.0,1068.8558,0.0052408217,0.8522897
2475.0,1069.6519,0.005327789,0.8522897
2525.0,1070.4918,0.005414708,0.8522897
2575.0,1071.1431,0.0054883775,0.8522897
2625.0,1071.862,0.005567494,0.8522897
2675.0,1072.4443,0.005640306,0.8522897
2725.0,1073.0596,0.005713631,0.8522897
2775.0,1073.5359,0.0057759206,0.8522897
2825.0,1074.0697,0.0058375853,0.8522897
2875.0,1074.508,0.005893298,0.8522897
2925.0,1074.9768,0.0059499512,0.8522897
2975.0,1075.3645,0.0060014417,0.8522897
