Temp Part,Heat Capacity,1 / Thermal Insulance,Emissivity
75.0,374.33362,0.00090025837,0.8181869
125.0,378.45898,0.00090179266,0.81890684
175.0,408.55914,0.0009063844,0.8253868
225.0,444.35947,0.0009141738,0.83186686
275.0,478.17688,0.0009239109,0.8332269
325.0,515.58563,0.00093740877,0.8339469
375.0,550.6549,0.0009547206,0.8352515
425.0,584.2367,0.0009769808,0.837257
475.0,620.60876,0.0010024365,0.8399188
525.0,657.50256,0.0010309232,0.8430295
575.0,689.32043,0.001068371,0.846137
625.0,717.6426,0.0011098771,0.849319
675.0,745.72375,0.0011551096,0.8522242
725.0,772.3784,0.0012021438,0.85502696
775.0,798.0947,0.0012497236,0.85768837
825.0,821.609,0.0013021324,0.8598575
875.0,841.38855,0.0013561095,0.861986
925.0,860.4352,0.0014125135,0.8637499
975.0,877.8854,0.0014687113,0.8653654
1025.0,894.6183,0.0015256935,0.8669808
1075.0,910.62146,0.001583194,0.8684199
1125.0,925.9658,0.0016429416,0.869216
1175.0,941.32544,0.0017033588,0.8696726
1225.0,955.3043,0.0017610361,0.870121
1275.0,969.0834,0.0018213154,0.8703306
1325.0,982.5563,0.0018848274,0.8703589
1375.0,994.9682,0.0019492502,0.869728
1425.0,1007.2931,0.0020182068,0.8686016
1475.0,1018.54834,0.0020868003,0.8678177
1525.0,1029.4497,0.002153473,0.8665169
1575.0,1040.2235,0.0022229129,0.86507744
1625.0,1050.4728,0.002295321,0.86377805
1675.0,1059.9688,0.0023688262,0.8615633
1725.0,1068.2263,0.002442365,0.8600435
1775.0,1075.8926,0.0025189181,0.8587854
1825.0,1083.0161,0.0025920433,0.857213
1875.0,1090.1151,0.0026697277,0.8555747
1925.0,1096.9866,0.0027478065,0.8539324
1975.0,1103.7817,0.0028256236,0.8523637
2025.0,1110.3806,0.0029051006,0.8504225
2075.0,1116.7751,0.0029845485,0.8487637
2125.0,1122.9524,0.0030632261,0.84712535
2175.0,1128.6938,0.0031459783,0.84547365
2225.0,1133.354,0.0032309748,0.84586966
2275.0,1136.2322,0.0033136029,0.8460637
2325.0,1138.2319,0.0033962862,0.8465657
2375.0,1139.4395,0.0034790016,0.84668946
2425.0,1140.6035,0.0035604357,0.84668946
2475.0,1141.6597,0.0036392414,0.846818
2525.0,1142.5955,0.0037141708,0.8469581
2575.0,1143.4504,0.0037852551,0.84709823
2625.0,1144.1266,0.0038561448,0.8472384
2675.0,1144.8147,0.003926357,0.84729636
2725.0,1145.3962,0.0039925217,0.8473164
2775.0,1145.9686,0.0040585664,0.8474565
2825.0,1146.4958,0.0041225087,0.84749866
2875.0,1146.9102,0.0041800393,0.84749866
2925.0,1147.3558,0.004240816,0.84749866
2975.0,1147.7211,0.0042974697,0.84749866
