Temp Part,Heat Capacity,1 / Thermal Insulance,Emissivity
75.0,344.96637,0.0010376179,0.8432
125.0,353.51053,0.0010410277,0.8432
175.0,375.19653,0.0010520554,0.8432
225.0,403.02353,0.0010676922,0.8432
275.0,440.132,0.0010936665,0.8432
325.0,477.24518,0.001130996,0.844
375.0,519.0097,0.0011771338,0.8456
425.0,555.2601,0.0012259885,0.8471798
475.0,595.3211,0.0012913054,0.84806645
525.0,630.491,0.0013642024,0.8488622
575.0,666.45667,0.0014443534,0.84920967
625.0,695.58636,0.0015201386,0.84955716
675.0,726.32666,0.0016031768,0.8495046
725.0,751.9596,0.0016896252,0.8494521
775.0,777.96875,0.0017815599,0.84899956
825.0,799.6283,0.0018711155,0.84854704
875.0,820.82117,0.001964477,0.84735906
925.0,839.21765,0.0020628506,0.8457429
975.0,857.4605,0.0021590544,0.8414767
1025.0,872.7993,0.0022542286,0.83721054
1075.0,887.99164,0.002356573,0.8325404
1125.0,901.54614,0.0024620472,0.82793003
1175.0,915.0758,0.002575691,0.82340527
1225.0,926.2886,0.002689629,0.8200755
1275.0,937.53033,0.0028013634,0.81614935
1325.0,947.4075,0.0029197012,0.8121705
1375.0,957.3318,0.0030464511,0.80832684
1425.0,965.4387,0.0031687918,0.80534685
1475.0,973.3944,0.0032987304,0.802883
1525.0,979.4976,0.00342485,0.80036044
1575.0,985.7947,0.0035575961,0.79783785
1625.0,991.5984,0.003689044,0.79551095
1675.0,996.76624,0.0038198363,0.7934234
1725.0,1001.9264,0.0039511053,0.7917359
1775.0,1006.09863,0.004084675,0.79004836
1825.0,1009.5322,0.004224936,0.78821516
1875.0,1012.3379,0.0043631974,0.7859026
1925.0,1015.16327,0.004497513,0.7833801
1975.0,1017.5342,0.0046325205,0.7804575
2025.0,1019.9022,0.00476484,0.77753496
2075.0,1021.85535,0.004882931,0.7751799
2125.0,1023.8203,0.004995074,0.77318513
2175.0,1025.4973,0.0051040035,0.77221924
2225.0,1027.2152,0.0052095465,0.77138424
2275.0,1028.6101,0.0053044623,0.7705492
2325.0,1030.0714,0.0054001836,0.76971424
2375.0,1031.2517,0.005483314,0.7688792
2425.0,1032.4913,0.0055714785,0.7680441
2475.0,1033.5194,0.005652049,0.7672092
2525.0,1034.6066,0.005733976,0.7663741
2575.0,1035.4894,0.005801645,0.76553905
2625.0,1036.4152,0.005874624,0.76470405
2675.0,1037.208,0.005941826,0.76386905
2725.0,1038.0511,0.0060107876,0.763034
2775.0,1038.7347,0.0060679885,0.7621989
2825.0,1039.4811,0.006127093,0.761364
2875.0,1040.0917,0.0061789774,0.7605289
2925.0,1040.7434,0.006232819,0.75969386
2975.0,1041.3152,0.006282037,0.75885886
