Temp Part,Heat Capacity,Thermal Insulance,Emissivity
100.0,203.82436,0.021659963,0.88
150.0,203.82437,0.021659961,0.88
200.0,203.82436,0.021659963,0.88
250.0,203.82437,0.021659961,0.88
300.0,206.15141,0.02165995,0.88
350.0,210.55197,0.021750273,0.88
400.0,214.72585,0.021924669,0.88
450.0,219.15738,0.022314642,0.88
500.0,223.56557,0.022820285,0.88
550.0,227.69865,0.023041446,0.88
600.0,232.039,0.023548782,0.88
650.0,236.32149,0.024054961,0.88
700.0,240.56226,0.02456026,0.88
750.0,244.62396,0.024804786,0.88
800.0,248.80473,0.025366798,0.88
850.0,252.94444,0.025964865,0.88
900.0,256.9663,0.026259853,0.88
950.0,261.0626,0.026906535,0.88
1000.0,265.12244,0.027587995,0.88
1050.0,269.16544,0.028280204,0.88
1100.0,273.15552,0.028586235,0.88
1150.0,277.18097,0.0292885,0.86926
1200.0,281.19803,0.030001683,0.84926
1250.0,285.1858,0.030330809,0.83731496
1300.0,290.26352,0.031063532,0.83231497
1350.0,296.25977,0.03180719,0.83
1400.0,302.2579,0.0325623,0.83
1450.0,308.23404,0.03290713,0.832685
1500.0,314.23416,0.03367709,0.837685
1550.0,320.23578,0.03446609,0.842685
1600.0,326.21396,0.034826037,0.84768504
1650.0,332.2115,0.03563337,0.86074
1700.0,338.2047,0.036448777,0.88074
1750.0,344.19373,0.037272617,0.90073997
1800.0,351.2286,0.037651446,0.92074
1850.0,359.19324,0.03848852,0.938055
1900.0,367.1538,0.039333947,0.95305496
1950.0,375.09525,0.03972562,0.96
2000.0,383.05023,0.04059743,0.96
2050.0,391.00134,0.041485354,0.96
2100.0,398.94806,0.04238986,0.96
2150.0,406.88602,0.04280616,0.96
2200.0,414.82733,0.04373103,0.96
2250.0,422.765,0.044672288,0.96
2300.0,431.13132,0.045630433,0.96
2350.0,439.86273,0.04608583,0.96
2400.0,448.59415,0.047070634,0.96
2450.0,457.32562,0.04807212,0.96
2500.0,466.05704,0.048482195,0.96
2550.0,474.78848,0.049380317,0.96
2600.0,483.51993,0.050228722,0.96
2650.0,492.2513,0.05102594,0.96
2700.0,500.98276,0.05125321,0.96
2750.0,509.7142,0.051950883,0.96
2800.0,518.4457,0.0525893,0.96
2850.0,518.4457,0.052725077,0.96
2900.0,518.4457,0.05327524,0.96
2950.0,518.4457,0.053766705,0.96
3000.0,518.4456,0.054198433,0.96
