Temp Part,Heat Capacity,1 / Thermal Insulance,Emissivity
75.0,305.6035,9.656809,0.895
125.0,326.86792,9.962233,0.895
175.0,357.1382,10.389482,0.895
225.0,385.71628,10.884845,0.895
275.0,411.63254,11.488366,0.895
325.0,432.25543,12.039031,0.895
375.0,448.2998,12.557953,0.895
425.0,461.98978,13.088483,0.895
475.0,473.19443,13.591582,0.895
525.0,482.7601,14.120985,0.895
575.0,491.42572,14.717979,0.89543504
625.0,498.81042,15.303431,0.8973612
675.0,506.10736,15.9009695,0.89928955
725.0,514.10803,16.54099,0.9012179
775.0,521.9288,17.141567,0.9031462
825.0,530.2423,17.74683,0.90507454
875.0,539.72626,18.402403,0.90700287
925.0,550.08325,19.025387,0.90893126
975.0,562.752,19.64883,0.91085964
1025.0,578.9725,20.31037,0.912788
1075.0,597.87787,20.923037,0.9147163
1125.0,619.6471,21.517082,0.91664463
1175.0,642.0343,22.084045,0.91857296
1225.0,660.472,22.515764,0.9205013
1275.0,677.49274,22.894104,0.9224296
1325.0,690.40326,23.162868,0.924358
1375.0,700.6755,23.363956,0.9262864
1425.0,709.11914,23.518192,0.92629284
1475.0,713.7003,23.599619,0.92629284
1525.0,715.70654,23.634956,0.92629284
1575.0,715.8538,23.637552,0.92629284
1625.0,715.8544,23.637562,0.92629284
1675.0,715.85425,23.637562,0.92629284
1725.0,715.8543,23.637562,0.92629284
1775.0,715.85425,23.637566,0.92629284
1825.0,715.85425,23.637566,0.92629284
1875.0,715.8542,23.637564,0.92629284
1925.0,715.85425,23.637568,0.92629284
1975.0,715.8541,23.637566,0.92629284
2025.0,715.8545,23.63756,0.92629284
2075.0,715.8545,23.637562,0.92629284
2125.0,715.8543,23.637558,0.92629284
2175.0,715.8546,23.637552,0.92629284
2225.0,715.8544,23.637556,0.92629284
2275.0,715.85443,23.637556,0.92629284
2325.0,715.8546,23.637552,0.92629284
2375.0,715.8545,23.637556,0.92629284
2425.0,715.8545,23.637556,0.92629284
2475.0,715.85443,23.637556,0.92629284
2525.0,715.8543,23.637556,0.92629284
2575.0,715.8543,23.637562,0.92629284
2625.0,715.8544,23.637558,0.92629284
2675.0,715.8547,23.637554,0.92629284
2725.0,715.85425,23.637548,0.92629284
2775.0,715.85406,23.637558,0.92629284
2825.0,715.8542,23.637554,0.92629284
2875.0,715.85425,23.637554,0.92629284
2925.0,715.8541,23.637554,0.92629284
2975.0,715.8542,23.637558,0.92629284
