Temp Part,Heat Capacity,1 / Thermal Insulance,Emissivity
75.0,305.6035,19.313618,0.895
125.0,326.86792,19.924465,0.895
175.0,357.1382,20.778963,0.895
225.0,385.71628,21.76969,0.895
275.0,411.63254,22.976732,0.895
325.0,432.25543,24.078062,0.895
375.0,448.2998,25.115906,0.895
425.0,461.98978,26.176966,0.895
475.0,473.19443,27.183165,0.895
525.0,482.7601,28.24197,0.895
575.0,491.42572,29.435959,0.89543504
625.0,498.81042,30.606861,0.8973612
675.0,506.10736,31.801939,0.89928955
725.0,514.10803,33.08198,0.9012179
775.0,521.9288,34.283134,0.9031462
825.0,530.2423,35.49366,0.90507454
875.0,539.72626,36.804806,0.90700287
925.0,550.08325,38.050774,0.90893126
975.0,562.752,39.29766,0.91085964
1025.0,578.9725,40.62074,0.912788
1075.0,597.87787,41.846073,0.9147163
1125.0,619.6471,43.034164,0.91664463
1175.0,642.0343,44.16809,0.91857296
1225.0,660.472,45.03153,0.9205013
1275.0,677.49274,45.788208,0.9224296
1325.0,690.40326,46.325737,0.924358
1375.0,700.6755,46.727913,0.9262864
1425.0,709.11914,47.036385,0.92629284
1475.0,713.7003,47.199238,0.92629284
1525.0,715.70654,47.269913,0.92629284
1575.0,715.8538,47.275105,0.92629284
1625.0,715.8544,47.275124,0.92629284
1675.0,715.85425,47.275124,0.92629284
1725.0,715.8543,47.275124,0.92629284
1775.0,715.85425,47.27513,0.92629284
1825.0,715.85425,47.27513,0.92629284
1875.0,715.8542,47.275127,0.92629284
1925.0,715.85425,47.275135,0.92629284
1975.0,715.8541,47.27513,0.92629284
2025.0,715.8545,47.27512,0.92629284
2075.0,715.8545,47.275124,0.92629284
2125.0,715.8543,47.275116,0.92629284
2175.0,715.8546,47.275105,0.92629284
2225.0,715.8544,47.275112,0.92629284
2275.0,715.85443,47.275112,0.92629284
2325.0,715.8546,47.275105,0.92629284
2375.0,715.8545,47.275112,0.92629284
2425.0,715.8545,47.275112,0.92629284
2475.0,715.85443,47.275112,0.92629284
2525.0,715.8543,47.275112,0.92629284
2575.0,715.8543,47.275124,0.92629284
2625.0,715.8544,47.275116,0.92629284
2675.0,715.8547,47.27511,0.92629284
2725.0,715.85425,47.275097,0.92629284
2775.0,715.85406,47.275116,0.92629284
2825.0,715.8542,47.27511,0.92629284
2875.0,715.85425,47.27511,0.92629284
2925.0,715.8541,47.27511,0.92629284
2975.0,715.8542,47.275116,0.92629284
