Temp Part,Heat Capacity,1 / Thermal Insulance,Emissivity
75.0,266.34235,0.024868738,0.275
125.0,299.26935,0.024873503,0.275
175.0,342.15723,0.024879089,0.275
225.0,377.9944,0.024883227,0.28055438
275.0,406.6056,0.024886178,0.28648221
325.0,429.50745,0.025344856,0.29241005
375.0,444.91785,0.027061101,0.29833788
425.0,459.50107,0.030427756,0.3042657
475.0,468.94308,0.036847048,0.31019354
525.0,476.07016,0.04855063,0.3161214
575.0,483.31107,0.062229607,0.32204923
625.0,490.6504,0.075003035,0.32797706
675.0,498.46613,0.08676641,0.3339049
725.0,505.8885,0.09919101,0.33983272
775.0,514.3357,0.11311518,0.34576055
825.0,523.6668,0.13220805,0.35168839
875.0,534.0209,0.15441278,0.35761622
925.0,545.553,0.1782536,0.36354408
975.0,560.82166,0.20274764,0.3694719
1025.0,579.2129,0.22782877,0.37539974
1075.0,604.3084,0.25339442,0.38132757
1125.0,635.18384,0.27572763,0.3872554
1175.0,666.0581,0.29995236,0.39318323
1225.0,669.06396,0.32311586,0.39318323
1275.0,672.069,0.34527636,0.39318323
1325.0,675.07336,0.36646503,0.39318323
1375.0,678.01685,0.38669148,0.39318323
1425.0,680.91626,0.40606532,0.39318323
1475.0,683.81494,0.42466855,0.39318323
1525.0,686.71265,0.43920392,0.39318323
1575.0,689.6102,0.45633712,0.39318323
1625.0,692.5074,0.47264946,0.39318323
1675.0,695.4044,0.48803946,0.39318323
1725.0,696.1976,0.5022565,0.39318323
1775.0,696.20215,0.5155218,0.39318323
1825.0,696.2065,0.52800703,0.39318323
1875.0,696.2101,0.5372246,0.39318323
1925.0,696.2143,0.5481898,0.39318323
1975.0,696.21826,0.5587764,0.39318323
2025.0,696.2219,0.56906897,0.39318323
2075.0,696.22534,0.5790804,0.39318323
2125.0,696.2284,0.58885604,0.39318323
2175.0,696.23114,0.5984224,0.39318323
2225.0,696.23364,0.60778844,0.39318323
2275.0,696.2356,0.6145953,0.39318323
2325.0,696.23773,0.6235802,0.39318323
2375.0,696.23975,0.6323893,0.39318323
2425.0,696.2416,0.64102966,0.39318323
2475.0,696.2433,0.64935523,0.39318323
2525.0,696.2449,0.6572815,0.39318323
2575.0,696.24646,0.6647922,0.39318323
2625.0,696.2477,0.669855,0.39318323
2675.0,696.24915,0.6765484,0.39318323
2725.0,696.2506,0.6827106,0.39318323
2775.0,696.2521,0.6882776,0.39318323
2825.0,696.25366,0.69333917,0.39318323
2875.0,696.255,0.6979369,0.39318323
2925.0,696.25635,0.7020316,0.39318323
2975.0,696.2578,0.70564497,0.39318323
